model,variant,horizon,scope,indicator,segment,level,label,threshold,n_obs,n_events,base_rate,hits,false_alarms,misses,correct_neg,POD,FAR,precision,FPR,CSI,F1,PSS,HSS,MCC,accuracy,frequency_bias,brier,brier_ref,BSS,exact_band,within_one_band,kappa_quadratic,mean_band_error,underpowered
arima,post_covid,4,neighborhood,Allston/Brighton,flu_season,0.98,IT98,101.71188922331822,26,0.0,0.0,0.0,0.0,0.0,26.0,,,,0.0,,,,,,1.0,,0.0020079253625109356,0.0,,,,,,True
arima,post_covid,4,neighborhood,Back Bay/Beacon Hill/Downtown/North End/West End,overall,,bands,,46,,,,,,,,,,,,,,,,,,,,,0.8913043478260869,0.9565217391304348,-0.04115226337448563,-0.06521739130434782,False
arima,post_covid,4,neighborhood,Back Bay/Beacon Hill/Downtown/North End/West End,overall,0.5,IT50,32.35361456388361,46,3.0,0.06521739130434782,0.0,2.0,3.0,41.0,0.0,1.0,0.0,0.046511627906976744,0.0,0.0,-0.046511627906976744,-0.05504587155963303,-0.056313829183370835,0.8913043478260869,0.6666666666666666,0.08709661336710593,0.060964083175803395,-0.42865452623873,,,,,True
arima,post_covid,4,neighborhood,Back Bay/Beacon Hill/Downtown/North End/West End,overall,0.9,IT90,56.35007606954225,46,2.0,0.043478260869565216,0.0,0.0,2.0,44.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,0.9565217391304348,0.0,0.04489703030530263,0.04158790170132326,-0.07956950143204944,,,,,True
arima,post_covid,4,neighborhood,Back Bay/Beacon Hill/Downtown/North End/West End,overall,0.98,IT98,80.35966190257739,46,0.0,0.0,0.0,0.0,0.0,46.0,,,,0.0,,,,,,1.0,,0.0008386340706256362,0.0,,,,,,True
arima,post_covid,4,neighborhood,Back Bay/Beacon Hill/Downtown/North End/West End,flu_season,,bands,,26,,,,,,,,,,,,,,,,,,,,,0.8076923076923077,0.9230769230769231,-0.07518796992481214,-0.11538461538461539,False
arima,post_covid,4,neighborhood,Back Bay/Beacon Hill/Downtown/North End/West End,flu_season,0.5,IT50,32.35361456388361,26,3.0,0.11538461538461539,0.0,2.0,3.0,21.0,0.0,1.0,0.0,0.08695652173913043,0.0,0.0,-0.08695652173913043,-0.1016949152542373,-0.10425720702853737,0.8076923076923077,0.6666666666666666,0.12961019378207833,0.10207100591715977,-0.26980421734326,,,,,True
arima,post_covid,4,neighborhood,Back Bay/Beacon Hill/Downtown/North End/West End,flu_season,0.9,IT90,56.35007606954225,26,2.0,0.07692307692307693,0.0,0.0,2.0,24.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,0.9230769230769231,0.0,0.0784929364561123,0.07100591715976333,-0.10544218842358122,,,,,True
arima,post_covid,4,neighborhood,Back Bay/Beacon Hill/Downtown/North End/West End,flu_season,0.98,IT98,80.35966190257739,26,0.0,0.0,0.0,0.0,0.0,26.0,,,,0.0,,,,,,1.0,,0.0014681747981492707,0.0,,,,,,True
arima,post_covid,4,neighborhood,Charlestown,overall,,bands,,35,,,,,,,,,,,,,,,,,,,,,0.8285714285714286,0.9142857142857143,-0.05633802816901401,-0.14285714285714285,False
arima,post_covid,4,neighborhood,Charlestown,overall,0.5,IT50,44.544403832795176,35,4.0,0.11428571428571428,0.0,2.0,4.0,29.0,0.0,1.0,0.0,0.06451612903225806,0.0,0.0,-0.06451612903225806,-0.08247422680412371,-0.08843153765707637,0.8285714285714286,0.5,0.1287846282019831,0.10122448979591839,-0.27226749635023606,,,,,True
arima,post_covid,4,neighborhood,Charlestown,overall,0.9,IT90,75.51034339625782,35,3.0,0.08571428571428572,0.0,0.0,3.0,32.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,0.9142857142857143,0.0,0.08831327211609981,0.0783673469387755,-0.1269141493981487,,,,,True
arima,post_covid,4,neighborhood,Charlestown,overall,0.98,IT98,105.83479691598406,35,0.0,0.0,0.0,0.0,0.0,35.0,,,,0.0,,,,,,1.0,,0.0011042076655043568,0.0,,,,,,True
arima,post_covid,4,neighborhood,Charlestown,flu_season,,bands,,21,,,,,,,,,,,,,,,,,,,,,0.7142857142857143,0.8571428571428571,-0.0975609756097564,-0.23809523809523808,False
arima,post_covid,4,neighborhood,Charlestown,flu_season,0.5,IT50,44.544403832795176,21,4.0,0.19047619047619047,0.0,2.0,4.0,15.0,0.0,1.0,0.0,0.11764705882352941,0.0,0.0,-0.11764705882352941,-0.14545454545454545,-0.15737789507292674,0.7142857142857143,0.5,0.19005057715540227,0.1541950113378685,-0.23253389008135872,,,,,True
arima,post_covid,4,neighborhood,Charlestown,flu_season,0.9,IT90,75.51034339625782,21,3.0,0.14285714285714285,0.0,0.0,3.0,18.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,0.8571428571428571,0.0,0.14649261855392484,0.12244897959183672,-0.1963563848570531,,,,,True
arima,post_covid,4,neighborhood,Charlestown,flu_season,0.98,IT98,105.83479691598406,21,0.0,0.0,0.0,0.0,0.0,21.0,,,,0.0,,,,,,1.0,,0.001835650260998464,0.0,,,,,,True
arima,post_covid,4,neighborhood,Dorchester,overall,,bands,,49,,,,,,,,,,,,,,,,,,,,,0.8775510204081632,1.0,-0.05755395683453224,-0.04081632653061224,False
arima,post_covid,4,neighborhood,Dorchester,overall,0.5,IT50,157.0086457734027,49,4.0,0.08163265306122448,0.0,2.0,4.0,43.0,0.0,1.0,0.0,0.044444444444444446,0.0,0.0,-0.044444444444444446,-0.05755395683453238,-0.061502080535259004,0.8775510204081632,0.5,0.08274736348692652,0.07496876301541025,-0.1037578874006142,,,,,True
arima,post_covid,4,neighborhood,Dorchester,overall,0.9,IT90,264.26252974322875,49,0.0,0.0,0.0,0.0,0.0,49.0,,,,0.0,,,,,,1.0,,0.0034003409299381646,0.0,,,,,,True
arima,post_covid,4,neighborhood,Dorchester,overall,0.98,IT98,368.7005757586777,49,0.0,0.0,0.0,0.0,0.0,49.0,,,,0.0,,,,,,1.0,,0.00016112571490313859,0.0,,,,,,True
arima,post_covid,4,neighborhood,Dorchester,flu_season,,bands,,26,,,,,,,,,,,,,,,,,,,,,0.7692307692307693,1.0,-0.11428571428571432,-0.07692307692307693,False
arima,post_covid,4,neighborhood,Dorchester,flu_season,0.5,IT50,157.0086457734027,26,4.0,0.15384615384615385,0.0,2.0,4.0,20.0,0.0,1.0,0.0,0.09090909090909091,0.0,0.0,-0.09090909090909091,-0.11428571428571428,-0.12309149097933272,0.7692307692307693,0.5,0.15417199884741792,0.13017751479289943,-0.18432126387334646,,,,,True
arima,post_covid,4,neighborhood,Dorchester,flu_season,0.9,IT90,264.26252974322875,26,0.0,0.0,0.0,0.0,0.0,26.0,,,,0.0,,,,,,1.0,,0.006407640631044737,0.0,,,,,,True
arima,post_covid,4,neighborhood,Dorchester,flu_season,0.98,IT98,368.7005757586777,26,0.0,0.0,0.0,0.0,0.0,26.0,,,,0.0,,,,,,1.0,,0.00030365999400953095,0.0,,,,,,True
arima,post_covid,4,neighborhood,East Boston,overall,,bands,,44,,,,,,,,,,,,,,,,,,,,,0.9090909090909091,0.9772727272727273,0.0,-0.11363636363636363,False
arima,post_covid,4,neighborhood,East Boston,overall,0.5,IT50,32.38969817502224,44,4.0,0.09090909090909091,0.0,0.0,4.0,40.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,0.9090909090909091,0.0,0.10862145467988396,0.08264462809917356,-0.3143196016265959,,,,,True
arima,post_covid,4,neighborhood,East Boston,overall,0.9,IT90,56.982258100156095,44,1.0,0.022727272727272728,0.0,0.0,1.0,43.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,0.9772727272727273,0.0,0.02777646961368613,0.02221074380165289,-0.25058709702549664,,,,,True
arima,post_covid,4,neighborhood,East Boston,overall,0.98,IT98,81.78485877953806,44,0.0,0.0,0.0,0.0,0.0,44.0,,,,0.0,,,,,,1.0,,0.0006768168154249397,0.0,,,,,,True
arima,post_covid,4,neighborhood,East Boston,flu_season,,bands,,25,,,,,,,,,,,,,,,,,,,,,0.84,0.96,0.0,-0.2,False
arima,post_covid,4,neighborhood,East Boston,flu_season,0.5,IT50,32.38969817502224,25,4.0,0.16,0.0,0.0,4.0,21.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,0.84,0.0,0.16063594302513193,0.13439999999999996,-0.19520790941318422,,,,,True
arima,post_covid,4,neighborhood,East Boston,flu_season,0.9,IT90,56.982258100156095,25,1.0,0.04,0.0,0.0,1.0,24.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,0.96,0.0,0.047525624488830076,0.03840000000000001,-0.23764647106328285,,,,,True
arima,post_covid,4,neighborhood,East Boston,flu_season,0.98,IT98,81.78485877953806,25,0.0,0.0,0.0,0.0,0.0,25.0,,,,0.0,,,,,,1.0,,0.0011628703960884024,0.0,,,,,,True
arima,post_covid,4,neighborhood,Fenway,overall,,bands,,43,,,,,,,,,,,,,,,,,,,,,0.9534883720930233,1.0,0.0,-0.046511627906976744,False
arima,post_covid,4,neighborhood,Fenway,overall,0.5,IT50,19.789042860168028,43,2.0,0.046511627906976744,0.0,0.0,2.0,41.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,0.9534883720930233,0.0,0.10818339874325782,0.04434829637641969,-1.4394037106863866,,,,,True
arima,post_covid,4,neighborhood,Fenway,overall,0.9,IT90,31.717921949528318,43,0.0,0.0,0.0,0.0,0.0,43.0,,,,0.0,,,,,,1.0,,0.021817502325732544,0.0,,,,,,True
arima,post_covid,4,neighborhood,Fenway,overall,0.98,IT98,42.89052071415166,43,0.0,0.0,0.0,0.0,0.0,43.0,,,,0.0,,,,,,1.0,,0.00394804871154947,0.0,,,,,,True
arima,post_covid,4,neighborhood,Fenway,flu_season,,bands,,25,,,,,,,,,,,,,,,,,,,,,0.92,1.0,0.0,-0.08,False
arima,post_covid,4,neighborhood,Fenway,flu_season,0.5,IT50,19.789042860168028,25,2.0,0.08,0.0,0.0,2.0,23.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,0.92,0.0,0.12618756834814693,0.0736,-0.7145050047302572,,,,,True
arima,post_covid,4,neighborhood,Fenway,flu_season,0.9,IT90,31.717921949528318,25,0.0,0.0,0.0,0.0,0.0,25.0,,,,0.0,,,,,,1.0,,0.025107492745423197,0.0,,,,,,True
arima,post_covid,4,neighborhood,Fenway,flu_season,0.98,IT98,42.89052071415166,25,0.0,0.0,0.0,0.0,0.0,25.0,,,,0.0,,,,,,1.0,,0.004973533342773351,0.0,,,,,,True
arima,post_covid,4,neighborhood,Hyde Park,overall,,bands,,46,,,,,,,,,,,,,,,,,,,,,0.8913043478260869,1.0,-0.05504587155963314,-0.021739130434782608,False
arima,post_covid,4,neighborhood,Hyde Park,overall,0.5,IT50,59.73762940735334,46,3.0,0.06521739130434782,0.0,2.0,3.0,41.0,0.0,1.0,0.0,0.046511627906976744,0.0,0.0,-0.046511627906976744,-0.05504587155963303,-0.056313829183370835,0.8913043478260869,0.6666666666666666,0.07484613465838327,0.060964083175803395,-0.2277086894351863,,,,,True
arima,post_covid,4,neighborhood,Hyde Park,overall,0.9,IT90,98.70163927662223,46,0.0,0.0,0.0,0.0,0.0,46.0,,,,0.0,,,,,,1.0,,0.0064588485982478945,0.0,,,,,,True
arima,post_covid,4,neighborhood,Hyde Park,overall,0.98,IT98,136.08880333365826,46,0.0,0.0,0.0,0.0,0.0,46.0,,,,0.0,,,,,,1.0,,0.00076342143196961,0.0,,,,,,True
arima,post_covid,4,neighborhood,Hyde Park,flu_season,,bands,,25,,,,,,,,,,,,,,,,,,,,,0.8,1.0,-0.10619469026548689,-0.04,False
arima,post_covid,4,neighborhood,Hyde Park,flu_season,0.5,IT50,59.73762940735334,25,3.0,0.12,0.0,2.0,3.0,20.0,0.0,1.0,0.0,0.09090909090909091,0.0,0.0,-0.09090909090909091,-0.10619469026548672,-0.10889310129609417,0.8,0.6666666666666666,0.12601807862328718,0.1056,-0.19335301726597698,,,,,True
arima,post_covid,4,neighborhood,Hyde Park,flu_season,0.9,IT90,98.70163927662223,25,0.0,0.0,0.0,0.0,0.0,25.0,,,,0.0,,,,,,1.0,,0.011541825975291806,0.0,,,,,,True
arima,post_covid,4,neighborhood,Hyde Park,flu_season,0.98,IT98,136.08880333365826,25,0.0,0.0,0.0,0.0,0.0,25.0,,,,0.0,,,,,,1.0,,0.0014007152541162709,0.0,,,,,,True
arima,post_covid,4,neighborhood,Jamaica Plain,overall,,bands,,46,,,,,,,,,,,,,,,,,,,,,0.8695652173913043,0.9347826086956522,-0.023738872403560762,-0.15217391304347827,False
arima,post_covid,4,neighborhood,Jamaica Plain,overall,0.5,IT50,30.1329000930458,46,5.0,0.10869565217391304,0.0,1.0,5.0,40.0,0.0,1.0,0.0,0.024390243902439025,0.0,0.0,-0.024390243902439025,-0.03759398496240601,-0.052057920629535355,0.8695652173913043,0.2,0.11057708528775942,0.09688090737240074,-0.14137128033609248,,,,,False
arima,post_covid,4,neighborhood,Jamaica Plain,overall,0.9,IT90,48.93353508945714,46,3.0,0.06521739130434782,0.0,0.0,3.0,43.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,0.9347826086956522,0.0,0.06205495461350188,0.060964083175803395,-0.017893674125348813,,,,,True
arima,post_covid,4,neighborhood,Jamaica Plain,overall,0.98,IT98,66.72678487426273,46,0.0,0.0,0.0,0.0,0.0,46.0,,,,0.0,,,,,,1.0,,0.00266305583783144,0.0,,,,,,True
arima,post_covid,4,neighborhood,Jamaica Plain,flu_season,,bands,,24,,,,,,,,,,,,,,,,,,,,,0.75,0.875,-0.04651162790697683,-0.2916666666666667,False
arima,post_covid,4,neighborhood,Jamaica Plain,flu_season,0.5,IT50,30.1329000930458,24,5.0,0.20833333333333334,0.0,1.0,5.0,18.0,0.0,1.0,0.0,0.05263157894736842,0.0,0.0,-0.05263157894736842,-0.07462686567164178,-0.10696563746013954,0.75,0.2,0.17263684976909052,0.16493055555555555,-0.04672447859995943,,,,,False
arima,post_covid,4,neighborhood,Jamaica Plain,flu_season,0.9,IT90,48.93353508945714,24,3.0,0.125,0.0,0.0,3.0,21.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,0.875,0.0,0.1158155861285413,0.109375,-0.0588853588895204,,,,,True
arima,post_covid,4,neighborhood,Jamaica Plain,flu_season,0.98,IT98,66.72678487426273,24,0.0,0.0,0.0,0.0,0.0,24.0,,,,0.0,,,,,,1.0,,0.004964438916374857,0.0,,,,,,True
arima,post_covid,4,neighborhood,Mattapan,overall,,bands,,47,,,,,,,,,,,,,,,,,,,,,0.9361702127659575,1.0,0.0,-0.06382978723404255,False
arima,post_covid,4,neighborhood,Mattapan,overall,0.5,IT50,75.36060630157071,47,3.0,0.06382978723404255,0.0,0.0,3.0,44.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,0.9361702127659575,0.0,0.07044654887112398,0.05975554549569943,-0.17891232163873338,,,,,True
arima,post_covid,4,neighborhood,Mattapan,overall,0.9,IT90,114.4266389550119,47,0.0,0.0,0.0,0.0,0.0,47.0,,,,0.0,,,,,,1.0,,0.0024343186254270717,0.0,,,,,,True
arima,post_covid,4,neighborhood,Mattapan,overall,0.98,IT98,149.46970387636378,47,0.0,0.0,0.0,0.0,0.0,47.0,,,,0.0,,,,,,1.0,,0.00032018776246307926,0.0,,,,,,True
arima,post_covid,4,neighborhood,Mattapan,flu_season,,bands,,26,,,,,,,,,,,,,,,,,,,,,0.8846153846153846,1.0,0.0,-0.11538461538461539,False
arima,post_covid,4,neighborhood,Mattapan,flu_season,0.5,IT50,75.36060630157071,26,3.0,0.11538461538461539,0.0,0.0,3.0,23.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,0.8846153846153846,0.0,0.12375015910798585,0.10207100591715977,-0.2123928631449048,,,,,True
arima,post_covid,4,neighborhood,Mattapan,flu_season,0.9,IT90,114.4266389550119,26,0.0,0.0,0.0,0.0,0.0,26.0,,,,0.0,,,,,,1.0,,0.0043670939897222545,0.0,,,,,,True
arima,post_covid,4,neighborhood,Mattapan,flu_season,0.98,IT98,149.46970387636378,26,0.0,0.0,0.0,0.0,0.0,26.0,,,,0.0,,,,,,1.0,,0.000578620639722436,0.0,,,,,,True
arima,post_covid,4,neighborhood,Roslindale,overall,,bands,,42,,,,,,,,,,,,,,,,,,,,,0.8333333333333334,0.9285714285714286,-0.06666666666666665,-0.09523809523809523,False
arima,post_covid,4,neighborhood,Roslindale,overall,0.5,IT50,83.12526323754497,42,4.0,0.09523809523809523,0.0,3.0,4.0,35.0,0.0,1.0,0.0,0.07894736842105263,0.0,0.0,-0.07894736842105263,-0.08888888888888889,-0.08998425413316952,0.8333333333333334,0.75,0.10901881573284122,0.08616780045351476,-0.265192045741657,,,,,True
arima,post_covid,4,neighborhood,Roslindale,overall,0.9,IT90,133.65502394030972,42,3.0,0.07142857142857142,0.0,0.0,3.0,39.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,0.9285714285714286,0.0,0.07826519373645431,0.06632653061224489,-0.17999830556500362,,,,,True
arima,post_covid,4,neighborhood,Roslindale,overall,0.98,IT98,181.10052866383202,42,0.0,0.0,0.0,0.0,0.0,42.0,,,,0.0,,,,,,1.0,,0.002450095207139299,0.0,,,,,,True
arima,post_covid,4,neighborhood,Roslindale,flu_season,,bands,,26,,,,,,,,,,,,,,,,,,,,,0.7307692307692307,0.8846153846153846,-0.11229946524064172,-0.15384615384615385,False
arima,post_covid,4,neighborhood,Roslindale,flu_season,0.5,IT50,83.12526323754497,26,4.0,0.15384615384615385,0.0,3.0,4.0,19.0,0.0,1.0,0.0,0.13636363636363635,0.0,0.0,-0.13636363636363635,-0.1518987341772152,-0.15399810070180361,0.7307692307692307,0.75,0.1691389397812861,0.13017751479289943,-0.29929458286533395,,,,,True
arima,post_covid,4,neighborhood,Roslindale,flu_season,0.9,IT90,133.65502394030972,26,3.0,0.11538461538461539,0.0,0.0,3.0,23.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,0.8846153846153846,0.0,0.12636948904689774,0.10207100591715977,-0.23805470428554876,,,,,True
arima,post_covid,4,neighborhood,Roslindale,flu_season,0.98,IT98,181.10052866383202,26,0.0,0.0,0.0,0.0,0.0,26.0,,,,0.0,,,,,,1.0,,0.003957736708834123,0.0,,,,,,True
arima,post_covid,4,neighborhood,Roxbury,overall,,bands,,49,,,,,,,,,,,,,,,,,,,,,0.9183673469387755,0.9795918367346939,-0.023880597014925398,-0.061224489795918366,False
arima,post_covid,4,neighborhood,Roxbury,overall,0.5,IT50,138.88545502174753,49,3.0,0.061224489795918366,0.0,1.0,3.0,45.0,0.0,1.0,0.0,0.021739130434782608,0.0,0.0,-0.021739130434782608,-0.031578947368421054,-0.036860489038724284,0.9183673469387755,0.3333333333333333,0.07189956068081949,0.057476051645147866,-0.2509481535844025,,,,,True
arima,post_covid,4,neighborhood,Roxbury,overall,0.9,IT90,231.9483227351807,49,1.0,0.02040816326530612,0.0,0.0,1.0,48.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,0.9795918367346939,0.0,0.022761152816643544,0.01999167013744273,-0.13853183151585746,,,,,True
arima,post_covid,4,neighborhood,Roxbury,overall,0.98,IT98,322.0096816211373,49,0.0,0.0,0.0,0.0,0.0,49.0,,,,0.0,,,,,,1.0,,0.00014105621231925666,0.0,,,,,,True
arima,post_covid,4,neighborhood,Roxbury,flu_season,,bands,,26,,,,,,,,,,,,,,,,,,,,,0.8461538461538461,0.9615384615384616,-0.04597701149425282,-0.11538461538461539,False
arima,post_covid,4,neighborhood,Roxbury,flu_season,0.5,IT50,138.88545502174753,26,3.0,0.11538461538461539,0.0,1.0,3.0,22.0,0.0,1.0,0.0,0.043478260869565216,0.0,0.0,-0.043478260869565216,-0.061224489795918366,-0.07223151185146152,0.8461538461538461,0.3333333333333333,0.13358000035569326,0.10207100591715977,-0.30869681507896574,,,,,True
arima,post_covid,4,neighborhood,Roxbury,flu_season,0.9,IT90,231.9483227351807,26,1.0,0.038461538461538464,0.0,0.0,1.0,25.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,0.9615384615384616,0.0,0.04289414357605507,0.036982248520710054,-0.1598576422965292,,,,,True
arima,post_covid,4,neighborhood,Roxbury,flu_season,0.98,IT98,322.0096816211373,26,0.0,0.0,0.0,0.0,0.0,26.0,,,,0.0,,,,,,1.0,,0.00026583660361720367,0.0,,,,,,True
arima,post_covid,4,neighborhood,South Boston,overall,,bands,,42,,,,,,,,,,,,,,,,,,,,,0.9047619047619048,1.0,0.0,-0.09523809523809523,False
arima,post_covid,4,neighborhood,South Boston,overall,0.5,IT50,31.63670795756643,42,4.0,0.09523809523809523,0.0,0.0,4.0,38.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,0.9047619047619048,0.0,0.1135891257663717,0.08616780045351476,-0.3182316963939451,,,,,True
arima,post_covid,4,neighborhood,South Boston,overall,0.9,IT90,60.18982141922808,42,0.0,0.0,0.0,0.0,0.0,42.0,,,,0.0,,,,,,1.0,,0.004341742843266019,0.0,,,,,,True
arima,post_covid,4,neighborhood,South Boston,overall,0.98,IT98,90.82483767314203,42,0.0,0.0,0.0,0.0,0.0,42.0,,,,0.0,,,,,,1.0,,0.00020628386670347977,0.0,,,,,,True
arima,post_covid,4,neighborhood,South Boston,flu_season,,bands,,25,,,,,,,,,,,,,,,,,,,,,0.84,1.0,0.0,-0.16,False
arima,post_covid,4,neighborhood,South Boston,flu_season,0.5,IT50,31.63670795756643,25,4.0,0.16,0.0,0.0,4.0,21.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,0.84,0.0,0.1598180487072704,0.13439999999999996,-0.18912238621480992,,,,,True
arima,post_covid,4,neighborhood,South Boston,flu_season,0.9,IT90,60.18982141922808,25,0.0,0.0,0.0,0.0,0.0,25.0,,,,0.0,,,,,,1.0,,0.006620969135104459,0.0,,,,,,True
arima,post_covid,4,neighborhood,South Boston,flu_season,0.98,IT98,90.82483767314203,25,0.0,0.0,0.0,0.0,0.0,25.0,,,,0.0,,,,,,1.0,,0.0003442315800255499,0.0,,,,,,True
arima,post_covid,4,neighborhood,South End,overall,,bands,,49,,,,,,,,,,,,,,,,,,,,,0.8775510204081632,1.0,-0.05755395683453224,-0.04081632653061224,False
arima,post_covid,4,neighborhood,South End,overall,0.5,IT50,82.00792145914704,49,4.0,0.08163265306122448,0.0,2.0,4.0,43.0,0.0,1.0,0.0,0.044444444444444446,0.0,0.0,-0.044444444444444446,-0.05755395683453238,-0.061502080535259004,0.8775510204081632,0.5,0.08404221019109177,0.07496876301541025,-0.1210297037156185,,,,,True
arima,post_covid,4,neighborhood,South End,overall,0.9,IT90,134.00251631923587,49,0.0,0.0,0.0,0.0,0.0,49.0,,,,0.0,,,,,,1.0,,0.004355401118391353,0.0,,,,,,True
arima,post_covid,4,neighborhood,South End,overall,0.98,IT98,183.45444562568642,49,0.0,0.0,0.0,0.0,0.0,49.0,,,,0.0,,,,,,1.0,,0.0004883076135524424,0.0,,,,,,True
arima,post_covid,4,neighborhood,South End,flu_season,,bands,,26,,,,,,,,,,,,,,,,,,,,,0.7692307692307693,1.0,-0.11428571428571432,-0.07692307692307693,False
arima,post_covid,4,neighborhood,South End,flu_season,0.5,IT50,82.00792145914704,26,4.0,0.15384615384615385,0.0,2.0,4.0,20.0,0.0,1.0,0.0,0.09090909090909091,0.0,0.0,-0.09090909090909091,-0.11428571428571428,-0.12309149097933272,0.7692307692307693,0.5,0.15336473141094983,0.13017751479289943,-0.1781199822022963,,,,,True
arima,post_covid,4,neighborhood,South End,flu_season,0.9,IT90,134.00251631923587,26,0.0,0.0,0.0,0.0,0.0,26.0,,,,0.0,,,,,,1.0,,0.008186692060387702,0.0,,,,,,True
arima,post_covid,4,neighborhood,South End,flu_season,0.98,IT98,183.45444562568642,26,0.0,0.0,0.0,0.0,0.0,26.0,,,,0.0,,,,,,1.0,,0.0009202482559068348,0.0,,,,,,True
arima,post_covid,4,neighborhood,West Roxbury,overall,,bands,,40,,,,,,,,,,,,,,,,,,,,,0.85,0.925,-0.05042016806722671,-0.125,False
arima,post_covid,4,neighborhood,West Roxbury,overall,0.5,IT50,37.349459967580074,40,3.0,0.075,0.0,3.0,3.0,34.0,0.0,1.0,0.0,0.08108108108108109,0.0,0.0,-0.08108108108108109,-0.08108108108108109,-0.08108108108108109,0.85,1.0,0.10554227899826821,0.06937499999999999,-0.5213301477227852,,,,,True
arima,post_covid,4,neighborhood,West Roxbury,overall,0.9,IT90,59.59981304845178,40,3.0,0.075,0.0,0.0,3.0,37.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,0.925,0.0,0.08257198352441966,0.06937499999999999,-0.19022678954118444,,,,,True
arima,post_covid,4,neighborhood,West Roxbury,overall,0.98,IT98,80.36625284929092,40,2.0,0.05,0.0,0.0,2.0,38.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,0.95,0.0,0.054214838081097574,0.047499999999999994,-0.1413650122336334,,,,,True
arima,post_covid,4,neighborhood,West Roxbury,flu_season,,bands,,25,,,,,,,,,,,,,,,,,,,,,0.76,0.88,-0.08318890814558055,-0.2,False
arima,post_covid,4,neighborhood,West Roxbury,flu_season,0.5,IT50,37.349459967580074,25,3.0,0.12,0.0,3.0,3.0,19.0,0.0,1.0,0.0,0.13636363636363635,0.0,0.0,-0.13636363636363635,-0.13636363636363635,-0.13636363636363635,0.76,1.0,0.14948926842427918,0.1056,-0.41561807219961344,,,,,True
arima,post_covid,4,neighborhood,West Roxbury,flu_season,0.9,IT90,59.59981304845178,25,3.0,0.12,0.0,0.0,3.0,22.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,0.88,0.0,0.13092455833339794,0.1056,-0.23981589330869268,,,,,True
arima,post_covid,4,neighborhood,West Roxbury,flu_season,0.98,IT98,80.36625284929092,25,2.0,0.08,0.0,0.0,2.0,23.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,0.92,0.0,0.08670276981092685,0.0736,-0.17802676373541915,,,,,True
dualtopo,post_covid,4,citywide,CITYWIDE,overall,,bands,,49,,,,,,,,,,,,,,,,,,,,,0.9183673469387755,0.9795918367346939,0.0,-0.10204081632653061,False
dualtopo,post_covid,4,citywide,CITYWIDE,overall,0.5,IT50,60.20679524890062,49,4.0,0.08163265306122448,0.0,0.0,4.0,45.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,0.9183673469387755,0.0,0.08067725124576118,0.07496876301541025,-0.07614489022818094,,,,,True
dualtopo,post_covid,4,citywide,CITYWIDE,overall,0.9,IT90,98.17566769051967,49,1.0,0.02040816326530612,0.0,0.0,1.0,48.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,0.9795918367346939,0.0,0.020408160552969113,0.01999167013744273,-0.020833197659976044,,,,,True
dualtopo,post_covid,4,citywide,CITYWIDE,overall,0.98,IT98,134.22833796478614,49,0.0,0.0,0.0,0.0,0.0,49.0,,,,0.0,,,,,,1.0,,1.4569777943367667e-30,0.0,,,,,,True
dualtopo,post_covid,4,citywide,CITYWIDE,flu_season,,bands,,26,,,,,,,,,,,,,,,,,,,,,0.8461538461538461,0.9615384615384616,0.0,-0.19230769230769232,False
dualtopo,post_covid,4,citywide,CITYWIDE,flu_season,0.5,IT50,60.20679524890062,26,4.0,0.15384615384615385,0.0,0.0,4.0,22.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,0.8461538461538461,0.0,0.1520179875333951,0.13017751479289943,-0.167774540597444,,,,,True
dualtopo,post_covid,4,citywide,CITYWIDE,flu_season,0.9,IT90,98.17566769051967,26,1.0,0.038461538461538464,0.0,0.0,1.0,25.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,0.9615384615384616,0.0,0.038461533349823836,0.036982248520710054,-0.039999861779236756,,,,,True
